0,0.0819,0.0000,0.0000,0.0000,0.0000,0.0006,0.7962,0.1213,0.0000,0.0000
1,0.3551,0.0000,0.0000,0.0000,0.0001,0.0001,0.6446,0.0002,0.0000,0.0000
2,0.0062,0.0000,0.0100,0.0000,0.0008,0.4432,0.0140,0.5011,0.0247,0.0000
3,0.7775,0.0000,0.0000,0.0000,0.0008,0.0005,0.1128,0.1084,0.0000,0.0000
4,0.0002,0.0000,0.0001,0.0000,0.9983,0.0000,0.0000,0.0012,0.0001,0.0000
5,0.3882,0.0001,0.0000,0.0000,0.2241,0.2325,0.1552,0.0000,0.0000,0.0000
6,0.0139,0.0777,0.0000,0.0000,0.5947,0.0000,0.0000,0.0000,0.0011,0.3127
7,0.0376,0.0000,0.0010,0.0004,0.9603,0.0003,0.0003,0.0000,0.0001,0.0000
8,0.2238,0.0004,0.0000,0.0000,0.7608,0.0000,0.0001,0.0149,0.0000,0.0000
9,0.0928,0.0596,0.0742,0.0021,0.0000,0.0000,0.0000,0.0000,0.0000,0.7713
10,0.0096,0.0000,0.0000,0.0000,0.2939,0.0000,0.0000,0.6885,0.0080,0.0000
11,0.2866,0.0001,0.0000,0.0000,0.2444,0.2694,0.1995,0.0000,0.0000,0.0000
12,0.0067,0.0012,0.0000,0.0000,0.3551,0.3275,0.3085,0.0000,0.0000,0.0010
13,0.0015,0.0056,0.0000,0.0000,0.3533,0.3395,0.2847,0.0000,0.0000,0.0154
14,0.0064,0.0000,0.0010,0.0000,0.0163,0.4152,0.0900,0.4712,0.0000,0.0000
15,0.5851,0.0000,0.0000,0.0000,0.4034,0.0023,0.0092,0.0001,0.0000,0.0000
16,0.0151,0.0000,0.0000,0.0000,0.0103,0.0012,0.0008,0.9725,0.0001,0.0000
17,0.0483,0.0000,0.0111,0.0043,0.9355,0.0000,0.0000,0.0000,0.0007,0.0000
18,0.5244,0.0053,0.0058,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.4639
19,0.0403,0.0000,0.0000,0.0000,0.0000,0.0004,0.8942,0.0651,0.0000,0.0000
20,0.6211,0.0000,0.0019,0.0523,0.3236,0.0000,0.0000,0.0000,0.0011,0.0000
21,0.3857,0.0000,0.0242,0.2415,0.3483,0.0000,0.0000,0.0000,0.0002,0.0000
22,0.0000,0.0000,0.0000,0.0000,0.5849,0.0000,0.0000,0.3936,0.0215,0.0000
23,0.4613,0.0000,0.0005,0.0011,0.5341,0.0000,0.0000,0.0030,0.0001,0.0000
24,0.0000,0.0000,0.0000,0.0000,0.9989,0.0005,0.0002,0.0003,0.0001,0.0000
25,0.5087,0.0001,0.0000,0.0000,0.0009,0.0000,0.0017,0.0000,0.0000,0.4885
